"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01002978","Kingston upon Thames 015B",30,1,10,480,10,40,10,50,0,0,80,1,1,710,480,"BP_1930_1939",0.68,80,"BP_2000_2009",0.11,0.17
"E01002979","Kingston upon Thames 015C",10,0,1,330,30,10,20,10,30,170,10,0,0,620,330,"BP_1930_1939",0.53,170,"BP_1993_1999",0.27,0.52
"E01002980","Kingston upon Thames 012C",0,0,0,480,0,0,0,0,0,1,0,0,1,480,480,"BP_1930_1939",1,1,"BP_UNKNOWN",0,0
"E01002981","Kingston upon Thames 012D",0,0,10,410,80,0,10,0,0,0,10,1,0,530,410,"BP_1930_1939",0.77,80,"BP_1945_1954",0.15,0.2
"E01002982","Kingston upon Thames 015D",0,0,1,370,50,70,30,20,1,10,1,0,1,550,370,"BP_1930_1939",0.67,70,"BP_1955_1964",0.13,0.19
"E01002983","Kingston upon Thames 015E",0,0,20,550,10,10,1,1,1,0,20,0,1,620,550,"BP_1930_1939",0.89,20,"BP_2000_2009",0.03,0.04
"E01002984","Kingston upon Thames 012E",70,50,30,90,20,110,90,80,10,10,20,10,1,590,110,"BP_1955_1964",0.19,90,"BP_1965_1972",0.15,0.82
"E01002985","Kingston upon Thames 007E",140,20,140,220,0,50,1,0,20,10,1,0,0,610,220,"BP_1930_1939",0.36,140,"BP_1919_1929",0.23,0.64
"E01002986","Kingston upon Thames 008E",0,1,50,180,120,40,60,10,1,1,1,0,1,470,180,"BP_1930_1939",0.38,120,"BP_1945_1954",0.26,0.67
"E01002987","Kingston upon Thames 011B",200,110,1,190,80,100,40,60,50,30,20,70,10,970,200,"BP_PRE_1900",0.21,190,"BP_1930_1939",0.2,0.95
"E01002988","Kingston upon Thames 011C",160,60,120,10,40,30,20,20,0,160,40,40,1,700,160,"BP_1993_1999",0.23,160,"BP_PRE_1900",0.23,1
"E01002989","Kingston upon Thames 011D",580,60,90,20,0,40,0,20,30,0,50,30,10,920,580,"BP_PRE_1900",0.63,90,"BP_1919_1929",0.1,0.16
"E01002990","Kingston upon Thames 009D",180,90,10,50,70,100,230,60,40,0,80,20,1,920,230,"BP_1965_1972",0.25,180,"BP_PRE_1900",0.2,0.78
"E01002991","Kingston upon Thames 009E",100,160,80,160,1,100,40,20,10,1,10,0,0,680,160,"BP_1930_1939",0.24,160,"BP_1900_1918",0.24,1
"E01002992","Kingston upon Thames 010D",1,60,130,140,1,30,0,60,1,1,10,1,1,450,140,"BP_1930_1939",0.31,130,"BP_1919_1929",0.29,0.93
"E01002993","Kingston upon Thames 013C",70,60,10,0,0,230,230,230,20,1,30,0,0,870,230,"BP_1973_1982",0.26,230,"BP_1965_1972",0.26,1
"E01002994","Kingston upon Thames 016A",140,40,20,100,10,150,10,70,50,0,20,10,1,620,150,"BP_1955_1964",0.24,140,"BP_PRE_1900",0.23,0.93
"E01002995","Kingston upon Thames 013D",90,50,60,80,10,90,70,80,1,90,10,30,10,670,90,"BP_1993_1999",0.13,90,"BP_1955_1964",0.13,1
"E01002996","Kingston upon Thames 016B",250,170,20,20,30,20,10,20,10,20,20,1,1,580,250,"BP_PRE_1900",0.43,170,"BP_1900_1918",0.29,0.68
"E01002997","Kingston upon Thames 016C",240,110,70,60,1,30,20,50,1,1,10,1,0,590,240,"BP_PRE_1900",0.41,110,"BP_1900_1918",0.19,0.46
"E01002998","Kingston upon Thames 016D",120,120,110,40,20,10,140,20,10,20,10,10,1,620,140,"BP_1965_1972",0.23,120,"BP_1900_1918",0.19,0.86
"E01002999","Kingston upon Thames 013E",100,70,1,70,10,170,100,70,90,10,20,0,1,710,170,"BP_1955_1964",0.24,100,"BP_1965_1972",0.14,0.59
"E01003000","Kingston upon Thames 017C",20,10,120,310,0,1,1,40,70,20,1,10,1,600,310,"BP_1930_1939",0.52,120,"BP_1919_1929",0.2,0.39
"E01003001","Kingston upon Thames 017D",0,0,1,590,1,20,0,20,1,1,0,0,0,650,590,"BP_1930_1939",0.91,20,"BP_1973_1982",0.03,0.03
"E01003002","Kingston upon Thames 016E",100,30,80,130,20,210,50,100,40,10,20,10,1,800,210,"BP_1955_1964",0.26,130,"BP_1930_1939",0.16,0.62
"E01003003","Kingston upon Thames 017E",40,60,110,250,50,10,10,1,0,50,1,60,1,650,250,"BP_1930_1939",0.38,110,"BP_1919_1929",0.17,0.44
"E01003004","Kingston upon Thames 018D",20,10,60,330,70,40,10,10,50,0,10,1,1,610,330,"BP_1930_1939",0.54,70,"BP_1945_1954",0.11,0.21
"E01003005","Kingston upon Thames 018E",0,0,1,470,50,50,1,0,10,0,0,0,0,580,470,"BP_1930_1939",0.81,50,"BP_1955_1964",0.09,0.11
"E01003006","Kingston upon Thames 001A",1,0,40,190,0,0,1,1,0,370,20,0,10,630,370,"BP_1993_1999",0.59,190,"BP_1930_1939",0.3,0.51
"E01003007","Kingston upon Thames 001B",0,1,0,440,60,30,0,0,10,10,1,0,1,570,440,"BP_1930_1939",0.77,60,"BP_1945_1954",0.11,0.14
"E01003008","Kingston upon Thames 001C",1,50,30,430,0,0,0,0,1,0,1,0,0,510,430,"BP_1930_1939",0.84,50,"BP_1900_1918",0.1,0.12
"E01003009","Kingston upon Thames 001D",30,10,30,240,110,80,10,70,110,40,20,20,1,780,240,"BP_1930_1939",0.31,110,"BP_1983_1992",0.14,0.46
"E01003010","Kingston upon Thames 001E",120,100,70,100,1,10,1,10,120,1,30,1,1,570,120,"BP_1983_1992",0.21,120,"BP_PRE_1900",0.21,1
"E01003011","Kingston upon Thames 004E",350,90,10,70,0,110,20,1,10,10,0,60,0,730,350,"BP_PRE_1900",0.48,110,"BP_1955_1964",0.15,0.31
"E01003013","Lambeth 036A",50,0,0,30,0,130,0,1,1,540,230,30,20,1030,540,"BP_1993_1999",0.52,230,"BP_2000_2009",0.22,0.43
"E01003014","Lambeth 036B",230,0,50,170,20,0,40,140,10,30,20,1,1,710,230,"BP_PRE_1900",0.32,170,"BP_1930_1939",0.24,0.74
"E01003015","Lambeth 002A",120,1,50,400,50,40,30,0,30,10,40,0,0,770,400,"BP_1930_1939",0.52,120,"BP_PRE_1900",0.16,0.3
"E01003016","Lambeth 036C",130,1,0,0,0,0,0,0,60,370,70,0,1,640,370,"BP_1993_1999",0.58,130,"BP_PRE_1900",0.2,0.35
"E01003017","Lambeth 036D",390,60,110,150,10,30,1,1,60,20,80,1,1,920,390,"BP_PRE_1900",0.42,150,"BP_1930_1939",0.16,0.38
"E01003018","Lambeth 020A",710,10,1,1,150,20,20,10,1,10,30,20,10,990,710,"BP_PRE_1900",0.72,150,"BP_1945_1954",0.15,0.21
"E01003019","Lambeth 015A",670,10,60,70,1,1,0,1,1,0,100,1,10,930,670,"BP_PRE_1900",0.72,100,"BP_2000_2009",0.11,0.15
"E01003020","Lambeth 016A",310,70,40,190,100,10,0,0,0,10,30,0,10,760,310,"BP_PRE_1900",0.41,190,"BP_1930_1939",0.25,0.61
"E01003021","Lambeth 021A",110,10,1,1,10,20,440,0,0,40,30,0,1,680,440,"BP_1965_1972",0.65,110,"BP_PRE_1900",0.16,0.25
"E01003022","Lambeth 021B",400,20,0,80,1,60,0,40,130,20,10,10,10,770,400,"BP_PRE_1900",0.52,130,"BP_1983_1992",0.17,0.33
"E01003023","Lambeth 021C",490,20,20,110,60,90,1,110,30,1,120,30,30,1110,490,"BP_PRE_1900",0.44,120,"BP_2000_2009",0.11,0.24
"E01003024","Lambeth 021D",30,0,60,160,360,140,0,0,0,0,30,1,10,780,360,"BP_1945_1954",0.46,160,"BP_1930_1939",0.21,0.44
"E01003025","Lambeth 021E",270,1,10,120,90,220,110,1,0,0,40,10,1,860,270,"BP_PRE_1900",0.31,220,"BP_1955_1964",0.26,0.81
"E01003026","Lambeth 019A",490,10,0,1,10,20,1,50,10,70,1,1,10,680,490,"BP_PRE_1900",0.72,70,"BP_1993_1999",0.1,0.14
"E01003027","Lambeth 019B",430,40,0,30,0,0,0,1,0,0,20,0,1,520,430,"BP_PRE_1900",0.83,40,"BP_1900_1918",0.08,0.09
"E01003028","Lambeth 019C",260,130,0,1,20,50,110,10,1,0,10,100,1,690,260,"BP_PRE_1900",0.38,130,"BP_1900_1918",0.19,0.5
"E01003029","Lambeth 017A",230,40,30,50,20,100,120,60,60,80,90,20,10,900,230,"BP_PRE_1900",0.26,120,"BP_1965_1972",0.13,0.52
"E01003030","Lambeth 019D",580,10,0,0,50,0,0,20,20,20,100,0,20,800,580,"BP_PRE_1900",0.73,100,"BP_2000_2009",0.13,0.17
"E01003031","Lambeth 023A",240,50,0,230,170,20,0,1,10,10,10,0,1,730,240,"BP_PRE_1900",0.33,230,"BP_1930_1939",0.32,0.96
"E01003032","Lambeth 017B",210,10,0,20,280,90,1,120,30,20,20,10,10,800,280,"BP_1945_1954",0.35,210,"BP_PRE_1900",0.26,0.75
"E01003033","Lambeth 019E",430,1,1,1,130,10,10,1,30,10,0,1,10,630,430,"BP_PRE_1900",0.68,130,"BP_1945_1954",0.21,0.3
"E01003034","Lambeth 012A",370,1,10,1,0,10,270,0,1,30,60,10,10,760,370,"BP_PRE_1900",0.49,270,"BP_1965_1972",0.36,0.73
"E01003035","Lambeth 012B",490,1,1,0,10,10,20,40,10,50,70,80,20,800,490,"BP_PRE_1900",0.61,80,"BP_2010_2015",0.1,0.16
"E01003036","Lambeth 012C",480,10,20,0,10,10,20,110,60,10,10,10,1,760,480,"BP_PRE_1900",0.63,110,"BP_1973_1982",0.14,0.23
"E01003037","Lambeth 013A",110,10,0,0,0,130,0,130,180,20,40,0,10,620,180,"BP_1983_1992",0.29,130,"BP_1973_1982",0.21,0.72
"E01003038","Lambeth 013B",540,10,0,50,1,20,0,0,60,10,30,80,30,830,540,"BP_PRE_1900",0.65,80,"BP_2010_2015",0.1,0.15
"E01003039","Lambeth 013C",540,60,0,70,0,10,10,0,1,10,240,0,50,980,540,"BP_PRE_1900",0.55,240,"BP_2000_2009",0.24,0.44
"E01003040","Lambeth 013D",400,0,0,130,0,10,50,10,0,1,1,1,20,630,400,"BP_PRE_1900",0.63,130,"BP_1930_1939",0.21,0.33
"E01003041","Lambeth 017C",140,10,10,190,200,30,10,20,0,0,60,0,30,690,200,"BP_1945_1954",0.29,190,"BP_1930_1939",0.28,0.95
"E01003042","Lambeth 013E",60,0,0,10,10,10,350,0,1,20,70,0,1,520,350,"BP_1965_1972",0.67,70,"BP_2000_2009",0.13,0.2
"E01003043","Lambeth 018A",580,1,20,10,10,1,0,0,50,10,30,0,10,700,580,"BP_PRE_1900",0.83,50,"BP_1983_1992",0.07,0.09
"E01003044","Lambeth 018B",40,1,0,190,0,20,0,170,30,0,10,120,1,570,190,"BP_1930_1939",0.33,170,"BP_1973_1982",0.3,0.89
"E01003045","Lambeth 011A",140,0,30,1,0,0,110,150,0,10,270,0,10,730,270,"BP_2000_2009",0.37,150,"BP_1973_1982",0.21,0.56
"E01003046","Lambeth 009A",110,0,0,180,170,150,0,160,0,0,10,0,0,770,180,"BP_1930_1939",0.23,170,"BP_1945_1954",0.22,0.94
"E01003047","Lambeth 011B",310,10,1,10,1,220,0,90,40,50,60,20,10,820,310,"BP_PRE_1900",0.38,220,"BP_1955_1964",0.27,0.71
"E01003048","Lambeth 009B",40,0,0,110,0,530,1,0,0,0,70,0,1,750,530,"BP_1955_1964",0.71,110,"BP_1930_1939",0.15,0.21
"E01003049","Lambeth 011C",100,10,10,10,0,310,20,120,0,40,50,1,1,650,310,"BP_1955_1964",0.48,120,"BP_1973_1982",0.18,0.39
"E01003050","Lambeth 016B",640,10,0,10,0,0,0,1,50,0,20,50,10,790,640,"BP_PRE_1900",0.81,50,"BP_2010_2015",0.06,0.08
"E01003051","Lambeth 018C",310,1,60,10,0,60,10,80,40,30,90,160,10,850,310,"BP_PRE_1900",0.36,160,"BP_2010_2015",0.19,0.52
"E01003052","Lambeth 016C",80,20,0,0,0,0,1,410,170,20,50,0,1,740,410,"BP_1973_1982",0.55,170,"BP_1983_1992",0.23,0.41
"E01003053","Lambeth 015B",600,1,0,0,0,0,0,1,0,1,120,10,1,730,600,"BP_PRE_1900",0.82,120,"BP_2000_2009",0.16,0.2
"E01003054","Lambeth 015C",690,10,0,0,0,1,0,0,0,20,80,140,10,960,690,"BP_PRE_1900",0.72,140,"BP_2010_2015",0.15,0.2
"E01003055","Lambeth 016D",330,1,80,0,60,20,60,0,30,90,130,20,10,820,330,"BP_PRE_1900",0.4,130,"BP_2000_2009",0.16,0.39
"E01003056","Lambeth 015D",690,1,0,0,70,0,10,0,30,10,1,1,10,810,690,"BP_PRE_1900",0.85,70,"BP_1945_1954",0.09,0.1
"E01003057","Lambeth 017D",250,10,0,30,50,10,60,210,90,10,40,1,20,770,250,"BP_PRE_1900",0.32,210,"BP_1973_1982",0.27,0.84
"E01003058","Lambeth 015E",750,1,0,0,0,1,0,0,10,1,30,60,30,890,750,"BP_PRE_1900",0.84,60,"BP_2010_2015",0.07,0.08
"E01003059","Lambeth 011D",60,0,0,0,0,10,90,330,0,0,30,190,1,720,330,"BP_1973_1982",0.46,190,"BP_2010_2015",0.26,0.58
"E01003060","Lambeth 011E",10,0,0,0,120,90,80,230,50,0,0,20,20,610,230,"BP_1973_1982",0.38,120,"BP_1945_1954",0.2,0.52
"E01003061","Lambeth 011F",260,10,10,50,0,10,80,80,0,20,20,10,10,540,260,"BP_PRE_1900",0.48,80,"BP_1973_1982",0.15,0.31
"E01003062","Lambeth 033A",640,20,0,100,1,10,40,10,0,10,10,80,1,920,640,"BP_PRE_1900",0.7,100,"BP_1930_1939",0.11,0.16
"E01003063","Lambeth 033B",170,0,10,40,0,1,40,370,30,60,10,0,10,730,370,"BP_1973_1982",0.51,170,"BP_PRE_1900",0.23,0.46
"E01003064","Lambeth 028A",560,50,10,40,0,1,0,0,1,1,20,0,10,680,560,"BP_PRE_1900",0.82,50,"BP_1900_1918",0.07,0.09
"E01003065","Lambeth 031A",140,10,30,50,1,10,200,1,140,0,150,1,1,730,200,"BP_1965_1972",0.27,150,"BP_2000_2009",0.21,0.75
"E01003066","Lambeth 028B",350,30,30,30,50,110,10,150,10,1,30,10,10,810,350,"BP_PRE_1900",0.43,150,"BP_1973_1982",0.19,0.43
"E01003067","Lambeth 033C",370,30,10,60,10,40,30,30,60,1,30,10,1,670,370,"BP_PRE_1900",0.55,60,"BP_1983_1992",0.09,0.16
"E01003068","Lambeth 031B",320,20,0,100,120,60,10,10,50,1,10,30,10,730,320,"BP_PRE_1900",0.44,120,"BP_1945_1954",0.16,0.38
"E01003069","Lambeth 033D",130,0,290,40,30,0,20,0,20,0,1,0,1,530,290,"BP_1919_1929",0.55,130,"BP_PRE_1900",0.25,0.45
"E01003070","Lambeth 033E",260,1,0,0,0,80,20,110,210,0,10,1,0,700,260,"BP_PRE_1900",0.37,210,"BP_1983_1992",0.3,0.81
"E01003071","Lambeth 018D",660,60,0,0,20,10,50,1,30,0,150,0,1,970,660,"BP_PRE_1900",0.68,150,"BP_2000_2009",0.15,0.23
"E01003072","Lambeth 014A",440,30,110,120,0,20,20,0,60,0,1,1,1,810,440,"BP_PRE_1900",0.54,120,"BP_1930_1939",0.15,0.27
"E01003073","Lambeth 014B",560,70,0,0,0,0,0,10,10,0,60,10,1,720,560,"BP_PRE_1900",0.78,70,"BP_1900_1918",0.1,0.13
"E01003074","Lambeth 018E",710,10,0,10,50,70,140,0,0,10,50,20,10,1080,710,"BP_PRE_1900",0.66,140,"BP_1965_1972",0.13,0.2
"E01003075","Lambeth 009C",30,0,20,260,110,0,180,60,0,10,40,0,1,700,260,"BP_1930_1939",0.37,180,"BP_1965_1972",0.26,0.69
"E01003076","Lambeth 014C",510,60,10,130,10,80,0,0,0,0,50,110,10,960,510,"BP_PRE_1900",0.53,130,"BP_1930_1939",0.14,0.25
"E01003077","Lambeth 014D",720,1,0,0,10,30,0,10,10,10,20,10,1,820,720,"BP_PRE_1900",0.88,30,"BP_1955_1964",0.04,0.04
"E01003078","Lambeth 014E",260,130,100,100,10,1,10,1,40,1,1,1,1,660,260,"BP_PRE_1900",0.39,130,"BP_1900_1918",0.2,0.5
"E01003079","Lambeth 027A",140,110,50,50,160,30,40,40,60,40,40,0,1,760,160,"BP_1945_1954",0.21,140,"BP_PRE_1900",0.18,0.88
"E01003080","Lambeth 027B",200,180,90,130,1,20,1,1,30,10,10,40,1,710,200,"BP_PRE_1900",0.28,180,"BP_1900_1918",0.25,0.9
"E01003081","Lambeth 028C",470,50,10,10,1,1,10,40,90,30,60,30,30,820,470,"BP_PRE_1900",0.57,90,"BP_1983_1992",0.11,0.19
"E01003082","Lambeth 031C",320,10,30,10,40,0,20,210,40,0,1,0,10,680,320,"BP_PRE_1900",0.47,210,"BP_1973_1982",0.31,0.66
"E01003083","Lambeth 030A",160,30,80,100,20,10,0,110,70,0,1,1,1,600,160,"BP_PRE_1900",0.27,110,"BP_1973_1982",0.18,0.69
"E01003084","Lambeth 030B",620,1,1,10,1,0,10,1,10,0,0,1,1,670,620,"BP_PRE_1900",0.93,10,"BP_1983_1992",0.01,0.02
"E01003085","Lambeth 030C",170,1,110,200,120,0,40,0,0,0,0,0,1,650,200,"BP_1930_1939",0.31,170,"BP_PRE_1900",0.26,0.85
"E01003086","Lambeth 031D",70,1,120,0,30,0,0,240,30,80,80,0,0,660,240,"BP_1973_1982",0.36,120,"BP_1919_1929",0.18,0.5
"E01003087","Lambeth 031E",10,1,20,50,440,10,30,1,30,20,20,0,10,640,440,"BP_1945_1954",0.69,50,"BP_1930_1939",0.08,0.11
"E01003088","Lambeth 010A",300,0,0,0,0,350,40,0,20,1,20,0,1,730,350,"BP_1955_1964",0.48,300,"BP_PRE_1900",0.41,0.86
"E01003089","Lambeth 008A",70,1,0,280,220,70,0,0,0,10,30,80,10,770,280,"BP_1930_1939",0.36,220,"BP_1945_1954",0.29,0.79
"E01003090","Lambeth 012D",570,0,0,40,140,20,1,0,10,1,210,20,50,1050,570,"BP_PRE_1900",0.54,210,"BP_2000_2009",0.2,0.37
"E01003091","Lambeth 008B",170,20,0,490,0,0,0,0,0,0,0,1,1,680,490,"BP_1930_1939",0.72,170,"BP_PRE_1900",0.25,0.35
"E01003092","Lambeth 008C",50,10,20,160,170,10,10,200,10,10,70,260,10,970,260,"BP_2010_2015",0.27,200,"BP_1973_1982",0.21,0.77
"E01003093","Lambeth 010B",30,1,0,0,280,80,170,10,0,10,70,310,10,960,310,"BP_2010_2015",0.32,280,"BP_1945_1954",0.29,0.9
"E01003094","Lambeth 010C",410,10,1,40,20,1,170,0,0,1,30,10,20,700,410,"BP_PRE_1900",0.59,170,"BP_1965_1972",0.24,0.41
"E01003095","Lambeth 012E",550,10,0,0,40,120,10,0,1,1,1,1,10,720,550,"BP_PRE_1900",0.76,120,"BP_1955_1964",0.17,0.22
"E01003096","Lambeth 010D",760,10,0,0,10,0,0,0,1,30,80,240,100,1230,760,"BP_PRE_1900",0.62,240,"BP_2010_2015",0.2,0.32
"E01003097","Lambeth 006A",1,0,0,120,340,10,10,240,30,0,1,1,1,750,340,"BP_1945_1954",0.45,240,"BP_1973_1982",0.32,0.71
"E01003098","Lambeth 005A",270,20,0,70,90,30,0,130,40,10,1,0,1,670,270,"BP_PRE_1900",0.4,130,"BP_1973_1982",0.19,0.48
"E01003099","Lambeth 005B",160,0,10,370,30,60,1,0,1,20,10,50,1,720,370,"BP_1930_1939",0.51,160,"BP_PRE_1900",0.22,0.43
"E01003100","Lambeth 005C",690,1,0,20,0,30,0,1,10,60,60,1,10,890,690,"BP_PRE_1900",0.78,60,"BP_2000_2009",0.07,0.09
"E01003101","Lambeth 003A",150,0,0,460,1,20,0,0,0,100,10,0,1,740,460,"BP_1930_1939",0.62,150,"BP_PRE_1900",0.2,0.33
"E01003102","Lambeth 004A",420,10,0,30,0,1,140,0,0,120,90,110,40,960,420,"BP_PRE_1900",0.44,140,"BP_1965_1972",0.15,0.33
"E01003104","Lambeth 004C",440,10,50,60,20,60,10,20,100,20,30,0,10,800,440,"BP_PRE_1900",0.55,100,"BP_1983_1992",0.13,0.23
"E01003105","Lambeth 003B",20,80,90,270,40,0,140,40,10,1,70,90,1,840,270,"BP_1930_1939",0.32,140,"BP_1965_1972",0.17,0.52
"E01003106","Lambeth 003C",250,80,130,60,1,50,110,90,0,50,270,10,1,1090,270,"BP_2000_2009",0.25,250,"BP_PRE_1900",0.23,0.93
"E01003107","Lambeth 003D",420,100,10,120,0,0,170,0,0,20,110,1,10,950,420,"BP_PRE_1900",0.44,170,"BP_1965_1972",0.18,0.4
"E01003108","Lambeth 002B",20,1,0,0,20,240,290,120,0,10,100,10,0,800,290,"BP_1965_1972",0.36,240,"BP_1955_1964",0.3,0.83
"E01003109","Lambeth 003E",70,1,70,280,180,50,40,0,1,70,340,180,10,1310,340,"BP_2000_2009",0.26,280,"BP_1930_1939",0.21,0.82
"E01003110","Lambeth 002C",370,20,0,50,0,10,40,120,60,30,120,80,10,920,370,"BP_PRE_1900",0.4,120,"BP_2000_2009",0.13,0.32
"E01003111","Lambeth 002D",0,0,0,10,0,0,450,200,0,0,30,40,20,750,450,"BP_1965_1972",0.6,200,"BP_1973_1982",0.27,0.44
"E01003112","Lambeth 002E",20,0,0,40,0,60,230,40,150,20,290,80,10,930,290,"BP_2000_2009",0.31,230,"BP_1965_1972",0.25,0.79
"E01003113","Lambeth 032A",320,240,40,50,20,20,1,10,0,50,60,10,10,810,320,"BP_PRE_1900",0.4,240,"BP_1900_1918",0.3,0.75
"E01003114","Lambeth 032B",550,80,10,30,30,1,1,10,20,30,1,230,30,1020,550,"BP_PRE_1900",0.54,230,"BP_2010_2015",0.23,0.42
"E01003115","Lambeth 034A",290,160,30,140,10,20,10,0,0,10,1,10,1,690,290,"BP_PRE_1900",0.42,160,"BP_1900_1918",0.23,0.55
"E01003116","Lambeth 029A",220,10,70,160,10,40,50,40,1,0,20,0,10,630,220,"BP_PRE_1900",0.35,160,"BP_1930_1939",0.25,0.73
"E01003117","Lambeth 029B",500,70,20,40,1,10,150,0,20,0,10,10,10,830,500,"BP_PRE_1900",0.6,150,"BP_1965_1972",0.18,0.3
"E01003118","Lambeth 029C",380,90,40,20,20,0,40,0,10,70,20,1,30,710,380,"BP_PRE_1900",0.54,90,"BP_1900_1918",0.13,0.24
"E01003119","Lambeth 032C",560,120,1,20,1,1,10,0,80,30,30,10,10,870,560,"BP_PRE_1900",0.64,120,"BP_1900_1918",0.14,0.21
"E01003120","Lambeth 032D",630,220,0,10,1,20,30,40,10,0,60,30,20,1070,630,"BP_PRE_1900",0.59,220,"BP_1900_1918",0.21,0.35
"E01003121","Lambeth 006B",0,1,0,1,0,650,40,0,0,0,1,0,1,700,650,"BP_1955_1964",0.93,40,"BP_1965_1972",0.06,0.06
"E01003122","Lambeth 004D",300,0,1,10,200,20,0,20,10,70,230,60,10,940,300,"BP_PRE_1900",0.32,230,"BP_2000_2009",0.24,0.77
"E01003123","Lambeth 006C",380,0,0,110,10,30,50,10,10,90,20,0,20,710,380,"BP_PRE_1900",0.54,110,"BP_1930_1939",0.15,0.29
"E01003124","Lambeth 006D",190,1,0,0,0,0,390,0,0,10,0,0,1,580,390,"BP_1965_1972",0.67,190,"BP_PRE_1900",0.33,0.49
"E01003125","Lambeth 006E",20,0,0,70,0,190,360,10,0,40,20,0,1,710,360,"BP_1965_1972",0.51,190,"BP_1955_1964",0.27,0.53
"E01003126","Lambeth 008D",110,0,0,70,0,410,30,10,10,20,10,70,1,720,410,"BP_1955_1964",0.57,110,"BP_PRE_1900",0.15,0.27
"E01003127","Lambeth 010E",320,10,0,230,0,1,40,50,1,0,20,60,10,740,320,"BP_PRE_1900",0.43,230,"BP_1930_1939",0.31,0.72
"E01003128","Lambeth 008E",50,0,0,30,320,220,0,0,0,0,40,30,1,700,320,"BP_1945_1954",0.46,220,"BP_1955_1964",0.31,0.69
"E01003129","Lambeth 004E",470,0,0,100,120,20,40,0,10,0,10,1,10,770,470,"BP_PRE_1900",0.61,120,"BP_1945_1954",0.16,0.26
"E01003130","Lambeth 026A",420,40,0,220,1,20,10,0,0,0,50,30,10,780,420,"BP_PRE_1900",0.54,220,"BP_1930_1939",0.28,0.52
"E01003131","Lambeth 026B",210,150,1,140,1,0,1,80,20,0,20,50,20,680,210,"BP_PRE_1900",0.31,150,"BP_1900_1918",0.22,0.71
"E01003132","Lambeth 024A",40,0,10,40,10,20,30,370,10,20,1,0,10,550,370,"BP_1973_1982",0.67,40,"BP_1930_1939",0.07,0.11
"E01003133","Lambeth 027C",610,10,0,10,0,30,50,20,1,40,20,1,10,790,610,"BP_PRE_1900",0.77,50,"BP_1965_1972",0.06,0.08
"E01003134","Lambeth 027D",400,10,1,90,80,10,40,0,0,10,0,0,10,640,400,"BP_PRE_1900",0.63,90,"BP_1930_1939",0.14,0.23
"E01003135","Lambeth 026C",610,110,0,0,10,1,0,0,0,0,0,0,10,750,610,"BP_PRE_1900",0.81,110,"BP_1900_1918",0.15,0.18
"E01003136","Lambeth 022A",410,60,0,130,1,40,70,0,1,0,1,100,20,840,410,"BP_PRE_1900",0.49,130,"BP_1930_1939",0.15,0.32
"E01003137","Lambeth 022B",70,1,0,210,190,70,40,20,70,10,10,1,10,700,210,"BP_1930_1939",0.3,190,"BP_1945_1954",0.27,0.9
"E01003138","Lambeth 026D",590,60,1,1,0,0,0,1,0,20,1,1,30,710,590,"BP_PRE_1900",0.83,60,"BP_1900_1918",0.08,0.1
"E01003139","Lambeth 035A",1,1,1,460,0,0,0,0,0,70,10,1,1,560,460,"BP_1930_1939",0.82,70,"BP_1993_1999",0.13,0.15
"E01003140","Lambeth 035B",1,0,1,460,0,0,1,0,10,20,1,0,1,500,460,"BP_1930_1939",0.92,20,"BP_1993_1999",0.04,0.04
"E01003141","Lambeth 034B",310,1,50,140,10,70,0,70,10,10,70,1,10,750,310,"BP_PRE_1900",0.41,140,"BP_1930_1939",0.19,0.45
"E01003142","Lambeth 035C",0,0,1,460,0,0,0,0,0,0,0,0,1,460,460,"BP_1930_1939",1,1,"BP_UNKNOWN",0,0
"E01003143","Lambeth 035D",0,0,1,360,0,0,0,0,50,110,1,0,0,520,360,"BP_1930_1939",0.69,110,"BP_1993_1999",0.21,0.31
"E01003144","Lambeth 034C",160,170,40,150,0,0,0,0,1,10,10,0,10,550,170,"BP_1900_1918",0.31,160,"BP_PRE_1900",0.29,0.94
"E01003145","Lambeth 034D",540,10,80,40,10,10,0,1,20,0,20,10,10,740,540,"BP_PRE_1900",0.73,80,"BP_1919_1929",0.11,0.15
"E01003146","Lambeth 035E",60,30,1,330,0,0,0,0,10,100,0,0,10,530,330,"BP_1930_1939",0.62,100,"BP_1993_1999",0.19,0.3
"E01003147","Lambeth 034E",300,90,190,20,0,20,150,1,1,20,20,10,10,830,300,"BP_PRE_1900",0.36,190,"BP_1919_1929",0.23,0.63
"E01003148","Lambeth 032E",640,60,1,20,0,70,20,0,1,0,10,10,10,820,640,"BP_PRE_1900",0.78,70,"BP_1955_1964",0.09,0.11
"E01003149","Lambeth 030D",190,10,70,260,0,10,30,1,40,60,50,0,10,720,260,"BP_1930_1939",0.36,190,"BP_PRE_1900",0.26,0.73
"E01003150","Lambeth 032F",330,10,10,60,150,20,100,70,20,0,10,0,10,780,330,"BP_PRE_1900",0.42,150,"BP_1945_1954",0.19,0.45
