"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01000235","Barnet 021E",10,60,450,10,10,1,1,1,0,0,40,1,0,590,450,"BP_1919_1929",0.76,60,"BP_1900_1918",0.1,0.13
"E01000236","Barnet 034A",0,40,150,280,1,30,90,20,70,30,1,10,1,710,280,"BP_1930_1939",0.39,150,"BP_1919_1929",0.21,0.54
"E01000237","Barnet 032A",70,130,210,200,10,10,110,1,20,10,10,1,1,780,210,"BP_1919_1929",0.27,200,"BP_1930_1939",0.26,0.95
"E01000238","Barnet 034B",30,280,170,100,1,20,10,0,1,1,40,1,1,650,280,"BP_1900_1918",0.43,170,"BP_1919_1929",0.26,0.61
"E01000239","Barnet 031A",0,1,160,120,0,30,0,20,390,100,120,1,1,940,390,"BP_1983_1992",0.41,160,"BP_1919_1929",0.17,0.41
"E01000240","Barnet 031B",30,10,130,420,0,10,0,0,0,0,40,1,1,630,420,"BP_1930_1939",0.67,130,"BP_1919_1929",0.21,0.31
"E01000241","Barnet 031C",220,30,110,120,0,60,50,70,0,30,20,20,1,720,220,"BP_PRE_1900",0.31,120,"BP_1930_1939",0.17,0.55
"E01000242","Barnet 032B",10,10,140,90,10,90,80,130,10,30,30,10,1,650,140,"BP_1919_1929",0.22,130,"BP_1973_1982",0.2,0.93
"E01000243","Barnet 032C",320,80,130,160,10,30,1,20,60,30,20,10,0,850,320,"BP_PRE_1900",0.38,160,"BP_1930_1939",0.19,0.5
"E01000244","Barnet 032D",110,170,130,70,1,1,40,50,10,1,10,0,10,600,170,"BP_1900_1918",0.28,130,"BP_1919_1929",0.22,0.76
"E01000245","Barnet 032E",60,50,70,60,1,180,410,0,10,1,10,40,1,900,410,"BP_1965_1972",0.46,180,"BP_1955_1964",0.2,0.44
"E01000246","Barnet 002B",40,30,30,310,10,80,110,20,20,0,10,10,1,670,310,"BP_1930_1939",0.46,110,"BP_1965_1972",0.16,0.35
"E01000247","Barnet 002C",190,50,30,10,10,70,80,1,270,50,10,0,1,760,270,"BP_1983_1992",0.36,190,"BP_PRE_1900",0.25,0.7
"E01000248","Barnet 001A",490,80,20,1,10,10,60,1,0,1,10,10,1,690,490,"BP_PRE_1900",0.71,80,"BP_1900_1918",0.12,0.16
"E01000249","Barnet 001B",160,80,80,120,40,30,50,20,20,1,1,1,1,590,160,"BP_PRE_1900",0.27,120,"BP_1930_1939",0.2,0.75
"E01000250","Barnet 001C",230,50,30,220,130,40,30,1,50,80,120,120,10,1110,230,"BP_PRE_1900",0.21,220,"BP_1930_1939",0.2,0.96
"E01000251","Barnet 002D",240,50,20,20,70,30,120,70,120,60,130,40,10,990,240,"BP_PRE_1900",0.24,130,"BP_2000_2009",0.13,0.54
"E01000252","Barnet 002E",110,20,100,80,30,60,40,90,170,40,10,0,1,770,170,"BP_1983_1992",0.22,110,"BP_PRE_1900",0.14,0.65
"E01000253","Barnet 007B",60,30,70,100,40,60,50,70,70,30,20,20,10,620,100,"BP_1930_1939",0.16,70,"BP_1983_1992",0.11,0.7
"E01000254","Barnet 001D",370,100,30,10,10,40,20,30,30,20,10,10,1,660,370,"BP_PRE_1900",0.56,100,"BP_1900_1918",0.15,0.27
"E01000255","Barnet 017A",30,10,40,80,260,30,20,20,1,1,50,1,0,540,260,"BP_1945_1954",0.48,80,"BP_1930_1939",0.15,0.31
"E01000256","Barnet 016A",1,0,70,260,60,20,60,60,10,100,30,1,1,670,260,"BP_1930_1939",0.39,100,"BP_1993_1999",0.15,0.38
"E01000257","Barnet 017B",10,10,50,130,50,300,30,60,1,0,90,1,0,730,300,"BP_1955_1964",0.41,130,"BP_1930_1939",0.18,0.43
"E01000258","Barnet 016B",80,300,50,40,30,50,60,10,10,20,30,30,0,730,300,"BP_1900_1918",0.41,80,"BP_PRE_1900",0.11,0.27
"E01000259","Barnet 025D",1,10,40,550,10,10,1,1,0,0,380,10,10,1010,550,"BP_1930_1939",0.54,380,"BP_2000_2009",0.38,0.69
"E01000260","Barnet 025E",0,1,90,320,1,0,1,100,0,190,80,1,10,790,320,"BP_1930_1939",0.41,190,"BP_1993_1999",0.24,0.59
"E01000261","Barnet 017C",70,120,110,110,50,130,20,10,1,10,30,20,10,690,130,"BP_1955_1964",0.19,120,"BP_1900_1918",0.17,0.92
"E01000262","Barnet 017D",30,30,130,120,120,30,30,10,1,20,140,190,0,840,190,"BP_2010_2015",0.23,140,"BP_2000_2009",0.17,0.74
"E01000263","Barnet 016C",1,30,100,310,10,10,30,10,1,0,10,1,0,510,310,"BP_1930_1939",0.61,100,"BP_1919_1929",0.2,0.32
